Language,Latitude,Longitude,ID,ISO code,Maximal onset,Maximal coda,CV language,CVC language,CCV language,CCVC language,Maximal CV contrasts,onsets allowed,Codas require onsets,Onset second C is preferentially glide,Any Glides,Onset second C  y,Onset second C  w,Onset second C is preferentially liquid,Any rhotics,Any laterals,Liquid  r-like,Liquid  ell-like,Coda  p t k glottal,Coda  glottal stop,PalatalsAffricates ts,Coda  nasal,Coda  ng,Coda  r l,Coda  s,Coda  glide,C1 in a CC coda  nasal,C1 in a CC coda  liquid,C1 in a CC coda  glide,C1 in a CC coda  glottal stop,C2 in a CC coda  s,General epenthesis,Sesquisyllabic epenthesis,Syllabic consonants,Syllabic nasals,Syllabic non-nasals,Glottal stops in onsets,Glottal stops in codas,Velar nasals in onsets,Velar nasals in codas,Total consonants,Total vowels,Tonal contrasts,Creaky tones,Breathy tones,Total obstruents,Total sonorants,Total egressive consonants,Total plosives,Supralaryngeal Plosive places,Supralaryngeal Plosive series,Plosive manners,Voiceless plosives,Voiced plosives,Aspirated plosives,Ejective plosives,Implodedglottalised plosives,Prenasalised plosives,Prenasalised voiceless plosives,Prenasalised aspirated plosives,Prenasalised breathy plosives,Fully voiceless prenasalised plosives,Postnasalised plosives,Breathy plosives,Pharyngealised plosives,Rounded plosives,Labialvelar stops,Uvular stops,glottal stops,Coronal contrasts in stops,How many coronal stop places oral are there,Coronal affricates,How many coronal affricate series are there,Gap for p,Gap for c,Gap for j,Gap for g,Gaps for both p and c,Gaps for both j and g,Gaps for both p and g,Unexpected b contrast,Unexpected d contrast,Unexpected j contrast,Unexpected g contrast,t more front than d,d more front than t,Nasal stops,Total nasals,Nasal places,Nasal manners,Glottalised nasals,Voiceless nasals,Breathy nasals,Rounded nasals,labiodental nasals,How many coronal nasal places are there,retroflex nasals,palatal nasals,Velar nasals,uvular nasals,labialvelar nasals,Fricatives,Total fricatives,Fricative manners,Voiceless fricatives,Voiced fricatives,Glottalised fricatives,Aspirated fricatives,Rounded fricatives,Prenasalised fricatives,Ejective fricatives,Dental fricatives,Lateral fricatives,Retroflex fricatives,Dorsal fricatives,Pharyngeal fricatives,Any liquids,Total liquids,Any rhotics,Any laterals,Bilabial trills,Total rhotics,Total lateral,Lateral places,Liquid manners,Voiceless liquids,Glottalised liquids,Breathy liquids,Retroflex laterals,Palatal laterals,Velar laterals,Clicks,Total clicks,Bilabial clicks,Dental clicks,Alveolar clicks,Lateral clicks,Postalveolar clicks,Palatal clicks,Glides,Glide series,Glide manners,Glottalised glides,Voiceless glides,Breathy glides,Linguolabials,Uvular consonants,Glottalised sonorants,Voiceless sonorants,Breathy sonorants,Long vowels,Nasalised vowels,Front rounded vowels,Contrastive vowel heights,Topless vowel system no i or u,Bottomless vowel system no a,Interior vowel system contains schwa,Contrastive vowel phonations,Creaky vowels,Breathy vowels,Pharyngealised vowels,Tense vowels,Voiceless vowels,Language family,Language family1,Language family2,Language family3,Language family4,Language family5,Is this language an isolate,World macro-region,WALS area,Autotyp,Country,Ancient language,Papuan,Altitude,Eastness,SOV,SVO,VSO,VOS,OVS,OSV
Yindjibarndi,-21.5,117,209,yij,1,1,0,1,0,0,133,3,0,0,1,0,0,0,1,1,0,0,?,0,?,?,?,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,1,1,19,3,0,0,0,6,13,19,6,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,1,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,Pama-Nyungan,Pilbara,?,?,?,?,0,Australia,Australia-New Guinea,Australia,Australia,0,0,355,137,0,1,0,0,0,0
Yingkarta,-24.5,114.833,210,yia,1,1,0,1,0,0,120,0,1,0,1,0,0,0,1,1,0,0,?,0,?,?,?,?,?,?,1,1,0,0,0,0,0,0,0,0,0,0,1,1,20,3,0,0,0,6,14,20,6,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,1,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,1,0,2,4,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,Pama-Nyungan,Kardu,?,?,?,?,0,Australia,Australia-New Guinea,Australia,Australia,0,0,147,134.833,0,1,0,0,0,0
Yir Yoront,-14.333,142.25,211,yiy,1,2,0,0,0,0,198,2,1,0,1,0,0,0,1,1,0,0,?,?,?,?,?,?,?,?,0,0,0,0,0,0,1,0,0,0,0,1,1,1,18,6,0,0,0,7,11,18,7,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,1,0,0,0,0,0,Pama-Nyungan,West Cape York,?,?,?,?,0,Australia,Australia-New Guinea,Northern Australia,Australia,0,0,0,162.25,?,?,?,?,?,?
Yuwaalaraay,-29.5,148,212,kld,1,1,0,1,0,0,90,0,1,0,1,0,0,0,1,1,0,0,?,0,?,?,?,?,?,?,1,1,0,0,0,0,0,0,0,0,0,0,1,1,15,3,0,0,0,5,10,15,5,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,Pama-Nyungan,Central New South Wales,?,?,?,?,0,Australia,Australia-New Guinea,Australia,Australia,0,0,145,168,1,0,0,0,0,0
Rembarrnga,-12.833,134.583,213,rmb,1,3,0,0,0,0,102,0,1,0,1,0,0,0,1,1,0,0,?,?,?,?,?,?,?,?,0,1,0,?,?,0,0,0,0,0,0,1,1,1,17,6,0,0,0,6,11,17,6,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,Gunwinyku,Bak,?,?,?,?,0,Australia,Australia-New Guinea,Northern Australia,Australia,0,0,86,154.583,1,0,0,0,0,0
Ngan'gityemerri,-14.25,130.417,214,nam,1,2,0,0,0,0,72,2,0,0,1,0,0,0,1,1,0,0,?,0,?,?,?,?,?,?,0,1,0,?,0,0,0,0,0,0,0,0,1,1,18,4,0,0,0,9,9,18,6,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,1,3,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,Southern Daly,?,?,?,?,?,0,Australia,Australia-New Guinea,Northern Australia,Australia,0,0,162,150.417,1,0,0,0,0,0
Ngankikurungkurr,-14,130.5,215,nam-2,2,2,0,0,0,0,120,2,0,?,1,?,?,?,1,1,?,?,?,0,?,?,?,?,?,?,0,1,0,?,0,0,0,0,0,0,0,0,1,1,20,4,0,0,0,10,10,20,7,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,1,0,0,0,0,0,1,0,1,1,0,0,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,1,4,1,1,0,2,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,Southern Daly,?,?,?,?,?,0,Australia,Australia-New Guinea,Northern Australia,Australia,0,0,30,150.5,1,1,0,0,0,?
Kayardild,-17.05,139.5,216,gyd,1,2,0,0,0,0,102,0,0,0,1,0,0,0,1,1,0,0,?,0,?,?,?,?,?,?,0,1,0,?,0,0,0,0,0,0,0,0,1,1,17,3,0,0,0,6,11,17,6,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,1,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,Tangkic,?,?,?,?,?,0,Australia,Australia-New Guinea,Northern Australia,Australia,0,0,0,159.5,1,0,0,0,0,0
Yukulta,-17.333,138.833,217,gcd,1,2,0,0,0,0,108,0,1,0,1,0,0,0,1,1,0,0,?,0,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,1,1,18,3,0,0,0,6,12,18,6,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,1,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,Tangkic,?,?,?,?,?,0,Australia,Australia-New Guinea,Northern Australia,Australia,0,0,0,158.833,0,1,0,0,0,0
Tiwi,-11.5,131,218,tiw,2,1,0,0,0,1,68,2,0,1,1,0,1,0,1,1,0,0,?,0,?,?,?,?,?,?,1,1,0,0,0,0,0,0,0,0,0,0,1,1,17,4,0,0,0,5,12,17,5,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,1,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,Tiwi,?,?,?,?,?,1,Australia,Australia-New Guinea,Northern Australia,Australia,0,0,0,151,0,1,0,0,0,0
Warray,-13.167,131.25,219,wrz,2,2,0,0,0,0,65,2,0,1,1,1,1,1,1,1,0,1,?,?,?,?,?,?,?,?,0,1,0,?,?,0,0,0,0,0,0,1,1,1,13,5,0,0,0,5,8,13,5,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,Gunwinyku,West,?,?,?,?,0,Australia,Australia-New Guinea,Northern Australia,Australia,0,0,36,151.25,0,1,0,0,0,0
Djingili,-17.25,133.833,220,jig,2,2,0,0,0,0,114,0,1,?,1,?,?,?,1,1,?,?,0,0,1,0,0,0,0,?,0,1,0,0,0,0,0,0,0,0,0,0,1,1,19,3,0,0,0,6,13,19,6,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,2,3,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,Mirndi,Barkly,?,?,?,?,0,Australia,Australia-New Guinea,Northern Australia,Australia,0,0,232,153.833,1,0,0,0,0,0
Wambaya,-18.667,135.75,221,wmb,1,2,0,0,0,0,102,2,0,0,1,0,0,0,1,1,0,0,?,0,1,?,?,?,?,?,0,1,0,?,0,0,0,0,0,0,0,0,1,1,17,3,0,0,0,5,12,17,5,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,2,3,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,Mirndi,Barkly,?,?,?,?,0,Australia,Australia-New Guinea,Northern Australia,Australia,0,0,207,155.75,0,1,1,1,0,0
Maranungku,-13.5,130,222,zmr,2,2,0,0,0,0,75,2,0,0,1,0,0,1,1,1,1,0,0,0,?,0,0,0,0,0,0,1,0,?,0,0,0,0,0,0,0,0,1,1,15,5,0,0,0,6,9,15,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,1,0,0,0,0,0,1,0,1,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,3,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,Western Daly,?,?,?,?,?,0,Australia,Australia-New Guinea,Northern Australia,Australia,0,0,0,150,1,1,0,0,0,?
Ughele,-8.5,157.33,223,uge,?,?,?,?,?,?,85,?,?,?,?,?,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,17,5,0,0,0,12,5,17,7,4,4,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,5,2,1,1,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,Austronesian,Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,?,?,0,Pacific,SE Asia & Oceania,Pacific,Solomons,0,0,0,177.33,0,0,1,0,0,0
Maringarr,-14.25,130,224,zmt,1,2,0,0,0,0,64,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,?,0,0,0,0,0,0,0,0,1,1,16,4,0,0,0,5,11,16,5,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,2,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,Western Daly,?,?,?,?,?,0,Australia,Australia-New Guinea,Northern Australia,Australia,0,0,0,150,1,0,0,0,0,0
Marrithiyel,-13.833,130,225,mfr,1,2,0,0,0,0,84,2,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,?,0,0,0,0,0,0,0,0,1,1,21,4,0,0,0,12,9,21,8,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,1,0,0,0,0,0,1,0,1,1,0,0,1,4,1,1,0,0,0,0,0,0,1,0,1,0,0,1,3,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,Western Daly,?,?,?,?,?,0,Australia,Australia-New Guinea,Northern Australia,Australia,0,0,34,150,1,0,0,0,0,0
Kwini,-14.333,126.75,226,gww,1,3,0,0,0,0,187,3,0,0,1,0,0,0,1,1,0,0,?,0,?,?,?,?,?,?,0,1,0,?,0,0,0,0,0,0,0,0,1,1,17,6,0,0,0,5,12,17,5,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,2,3,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,1,0,0,0,0,0,Wororan,?,?,?,?,?,0,Australia,Australia-New Guinea,Northern Australia,Australia,0,0,73.5,146.75,?,?,?,?,?,?
Ngarinyin,-16.5,125.5,227,ung,1,1,0,1,0,0,85,2,0,0,1,0,0,0,1,1,0,0,?,0,?,?,?,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17,5,0,0,0,5,12,17,5,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,2,3,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,Wororan,?,?,?,?,?,0,Australia,Australia-New Guinea,Northern Australia,Australia,0,0,681,145.5,0,0,0,0,1,0
Worora,-15.667,124.667,228,unp,?,?,?,?,?,?,136,?,?,?,?,?,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,17,5,0,0,0,5,12,17,5,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,2,3,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,Wororan,?,?,?,?,?,0,Australia,Australia-New Guinea,Northern Australia,Australia,0,0,28,144.667,?,?,0,0,0,?
Wagiman,-14,131.25,229,waq,1,2,0,0,0,0,85,0,1,0,1,0,0,0,1,1,0,0,0,1,?,0,0,0,0,?,1,1,1,0,0,0,0,0,0,0,0,1,1,1,17,5,0,0,0,6,11,17,6,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,Wagiman,?,?,?,?,?,1,Australia,Australia-New Guinea,Northern Australia,Australia,0,0,50,151.25,1,0,0,0,0,0
Wardaman,-15.5,131,230,wrr,1,2,0,0,0,0,85,0,1,0,1,0,0,0,1,1,0,0,?,1,?,?,?,?,?,?,0,1,0,?,0,0,0,0,0,0,0,1,1,1,17,5,0,0,0,5,12,17,5,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,2,3,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,Yangman,?,?,?,?,?,1,Australia,Australia-New Guinea,Northern Australia,Australia,0,0,117,151,?,?,?,?,?,?
Semelai,3,102.5,231,sza,1,1,0,1,0,0,837,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,?,0,0,0,0,0,0,1,0,0,0,1,1,0,1,31,9,0,0,0,15,16,31,13,5,5,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10,4,3,1,1,0,0,0,1,0,1,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,2,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,1,1,0,4,0,0,1,1,0,0,0,0,0,Austroasiatic,Aslian,?,?,?,?,0,Eurasia,SE Asia & Oceania,Southeast Asia,Malaysia,0,0,50,122.5,0,1,1,1,0,0
Temiar,4.833,101.333,232,tea,2,1,0,0,0,1,1680,0,1,0,1,0,0,0,1,1,0,0,?,0,1,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,?,?,1,1,20,13,2,0,0,12,8,20,9,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,1,0,0,0,0,0,1,0,1,1,0,0,1,3,2,1,1,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,6,0,0,1,1,0,0,0,0,0,Austroasiatic,Aslian,?,?,?,?,0,Eurasia,SE Asia & Oceania,Southeast Asia,Malaysia,0,0,976,121.333,0,1,0,0,0,0
Brao,14,107,233,brb,2,2,0,0,0,0,1220,6,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,?,0,0,0,?,?,0,0,0,0,0,?,?,1,1,20,9,0,0,0,14,6,20,11,4,5,5,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,4,4,1,0,0,0,0,0,1,0,1,1,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,1,3,1,1,0,0,0,Austroasiatic,Bahnaric,?,?,?,?,0,Eurasia,SE Asia & Oceania,Southeast Asia,Vietnam,0,0,458,127,0,1,0,0,0,0
Chrau,10.667,107.5,234,crw,3,1,0,0,0,0,160,0,1,0,1,0,0,0,1,1,0,0,?,?,1,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,?,?,1,0,20,8,0,0,0,13,7,20,11,4,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,4,4,1,0,0,0,0,0,1,0,1,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,Austroasiatic,Bahnaric,?,?,?,?,0,Eurasia,SE Asia & Oceania,Southeast Asia,Vietnam,0,0,192,127.5,0,1,0,0,0,0
Cua,15.167,108.667,235,cua,2,1,0,0,0,1,814,3,0,1,1,?,1,1,1,1,?,1,1,1,1,0,1,0,0,?,0,0,1,0,0,?,?,?,?,?,1,1,1,1,22,12,0,0,0,15,7,22,13,4,4,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,4,1,0,0,0,0,0,1,0,1,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,2,0,1,0,0,0,Austroasiatic,Bahnaric,?,?,?,?,0,Eurasia,SE Asia & Oceania,Southeast Asia,Vietnam,0,0,90,128.667,0,1,0,0,0,0
Sapuan,15.333,106.833,236,spu,2,1,0,0,0,1,759,0,1,0,1,0,0,1,1,1,1,1,1,0,?,1,0,0,0,?,0,0,0,0,0,0,0,0,0,0,?,?,1,1,23,11,2,0,0,16,7,23,9,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,1,0,0,0,0,0,1,0,1,1,0,0,1,7,2,1,1,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,1,0,0,0,0,0,Austroasiatic,Bahnaric,?,?,?,?,0,Eurasia,SE Asia & Oceania,Southeast Asia,Laos,0,0,241,126.833,0,1,0,0,0,0
Sedang,14.667,108,237,sed,2,1,0,0,0,1,2160,0,1,0,1,0,0,0,1,1,0,0,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,0,0,?,?,1,1,36,10,0,0,0,16,20,36,14,4,4,5,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12,4,3,1,1,0,0,0,1,0,1,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,1,0,3,3,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,1,1,0,5,0,0,1,2,0,0,1,0,0,Austroasiatic,Bahnaric,?,?,?,?,0,Eurasia,SE Asia & Oceania,Southeast Asia,Vietnam,0,0,1324,128,0,1,0,0,0,0
