Language,Latitude,Longitude,ID,ISO code,Maximal onset,Maximal coda,CV language,CVC language,CCV language,CCVC language,Maximal CV contrasts,onsets allowed,Codas require onsets,Onset second C is preferentially glide,Any Glides,Onset second C  y,Onset second C  w,Onset second C is preferentially liquid,Any rhotics,Any laterals,Liquid  r-like,Liquid  ell-like,Coda  p t k glottal,Coda  glottal stop,PalatalsAffricates ts,Coda  nasal,Coda  ng,Coda  r l,Coda  s,Coda  glide,C1 in a CC coda  nasal,C1 in a CC coda  liquid,C1 in a CC coda  glide,C1 in a CC coda  glottal stop,C2 in a CC coda  s,General epenthesis,Sesquisyllabic epenthesis,Syllabic consonants,Syllabic nasals,Syllabic non-nasals,Glottal stops in onsets,Glottal stops in codas,Velar nasals in onsets,Velar nasals in codas,Total consonants,Total vowels,Tonal contrasts,Creaky tones,Breathy tones,Total obstruents,Total sonorants,Total egressive consonants,Total plosives,Supralaryngeal Plosive places,Supralaryngeal Plosive series,Plosive manners,Voiceless plosives,Voiced plosives,Aspirated plosives,Ejective plosives,Implodedglottalised plosives,Prenasalised plosives,Prenasalised voiceless plosives,Prenasalised aspirated plosives,Prenasalised breathy plosives,Fully voiceless prenasalised plosives,Postnasalised plosives,Breathy plosives,Pharyngealised plosives,Rounded plosives,Labialvelar stops,Uvular stops,glottal stops,Coronal contrasts in stops,How many coronal stop places oral are there,Coronal affricates,How many coronal affricate series are there,Gap for p,Gap for c,Gap for j,Gap for g,Gaps for both p and c,Gaps for both j and g,Gaps for both p and g,Unexpected b contrast,Unexpected d contrast,Unexpected j contrast,Unexpected g contrast,t more front than d,d more front than t,Nasal stops,Total nasals,Nasal places,Nasal manners,Glottalised nasals,Voiceless nasals,Breathy nasals,Rounded nasals,labiodental nasals,How many coronal nasal places are there,retroflex nasals,palatal nasals,Velar nasals,uvular nasals,labialvelar nasals,Fricatives,Total fricatives,Fricative manners,Voiceless fricatives,Voiced fricatives,Glottalised fricatives,Aspirated fricatives,Rounded fricatives,Prenasalised fricatives,Ejective fricatives,Dental fricatives,Lateral fricatives,Retroflex fricatives,Dorsal fricatives,Pharyngeal fricatives,Any liquids,Total liquids,Any rhotics,Any laterals,Bilabial trills,Total rhotics,Total lateral,Lateral places,Liquid manners,Voiceless liquids,Glottalised liquids,Breathy liquids,Retroflex laterals,Palatal laterals,Velar laterals,Clicks,Total clicks,Bilabial clicks,Dental clicks,Alveolar clicks,Lateral clicks,Postalveolar clicks,Palatal clicks,Glides,Glide series,Glide manners,Glottalised glides,Voiceless glides,Breathy glides,Linguolabials,Uvular consonants,Glottalised sonorants,Voiceless sonorants,Breathy sonorants,Long vowels,Nasalised vowels,Front rounded vowels,Contrastive vowel heights,Topless vowel system no i or u,Bottomless vowel system no a,Interior vowel system contains schwa,Contrastive vowel phonations,Creaky vowels,Breathy vowels,Pharyngealised vowels,Tense vowels,Voiceless vowels,Language family,Language family1,Language family2,Language family3,Language family4,Language family5,Is this language an isolate,World macro-region,WALS area,Autotyp,Country,Ancient language,Papuan,Altitude,Eastness,SOV,SVO,VSO,VOS,OVS,OSV
Mofu,10.5,14,11,mif,1,1,0,1,0,0,992,2,0,0,1,0,0,0,1,1,0,0,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,0,0,?,?,?,?,31,8,3,0,0,24,7,31,17,3,5,4,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,7,2,1,1,0,0,0,0,0,0,1,0,0,0,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,1,0,0,0,0,0,Afro-Asiatic,Chadic,?,?,?,?,0,Africa,Africa,West Africa,Cameroon,0,0,514,34,0,1,0,0,0,0
Musgu,11,15,12,mug,2,1,0,0,0,1,1150,2,0,0,1,0,0,0,1,1,0,0,?,0,?,?,?,?,?,?,0,0,0,0,0,?,?,?,?,?,0,0,?,?,23,7,4,0,0,15,8,23,8,4,4,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,4,1,0,0,0,0,0,2,0,0,1,0,0,1,7,2,1,1,0,0,0,0,0,0,1,0,0,0,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,1,0,0,0,0,0,Afro-Asiatic,Chadic,?,?,?,?,0,Africa,Africa,West Africa,Cameroon,0,0,312,35,0,1,0,0,0,0
Tera,11,11.83,13,ttr,1,1,0,1,0,0,1824,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,?,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38,6,3,0,0,31,7,38,19,4,6,4,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,1,0,0,0,0,0,1,0,1,1,0,0,1,12,2,1,1,0,0,1,0,0,0,1,1,1,0,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,3,0,0,1,1,0,0,0,0,0,Afro-Asiatic,Chadic,?,?,?,?,0,Africa,Africa,West Africa,Nigeria,0,0,454,31.83,0,1,0,0,0,0
Awngi,10.83,36.67,14,awn,2,2,0,0,0,0,675,4,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,?,0,0,0,0,0,0,1,0,0,0,0,0,1,1,27,5,4,0,0,19,8,27,16,5,8,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,1,0,0,0,0,0,1,0,1,1,0,0,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,Afro-Asiatic,Cushitic,?,?,?,?,0,Africa,Africa,Ethiopia,Ethiopia,0,0,2058,56.67,?,?,?,?,?,?
Bilin,15.9,38.3,15,byn,?,?,?,?,?,?,168,?,?,?,?,?,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,24,7,0,0,0,16,8,24,16,5,7,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,Afro-Asiatic,Cushitic,?,?,?,?,0,Africa,Africa,Ethiopia,Eritrea,0,0,1532,58.3,1,0,0,0,0,0
Kemant,12.9,37,16,ahg,1,1,0,1,0,0,174,2,0,0,1,0,0,0,1,1,0,0,?,0,?,?,?,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,?,?,29,6,0,0,0,21,8,29,12,4,5,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,4,4,1,0,0,0,1,0,1,0,0,1,0,0,1,9,2,1,1,0,0,1,0,0,0,0,1,1,0,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,Afro-Asiatic,Cushitic,?,?,?,?,0,Africa,Africa,Ethiopia,Ethiopia,0,0,2520,57,1,0,0,0,0,0
Kera,9.83,15.08,17,ker,1,1,0,1,0,0,144,3,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,?,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24,6,0,0,0,16,8,24,11,4,4,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,3,3,1,0,0,0,0,0,1,0,0,1,0,0,1,5,2,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,Afro-Asiatic,Chadic,?,?,?,?,0,Africa,Africa,West Africa,Chad,0,0,327,35.08,0,1,0,0,0,0
Lele,9.08,15.58,18,lln,2,2,0,0,0,0,920,4,0,0,1,0,0,0,1,1,0,0,0,0,?,0,0,0,0,?,0,0,0,0,0,0,0,1,1,1,0,0,1,1,23,5,3,0,0,15,8,23,13,3,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,4,1,0,0,0,0,0,1,0,1,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,Afro-Asiatic,Chadic,?,?,?,?,0,Africa,Africa,West Africa,Chad,0,0,456,35.58,0,1,0,0,0,0
Oromo,9,37,19,hae,1,1,0,1,0,0,750,3,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,?,?,0,0,25,5,2,0,0,18,7,25,14,4,5,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,0,0,0,0,0,1,0,1,0,0,0,1,4,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,Afro-Asiatic,Cushitic,?,?,?,?,0,Africa,Africa,Ethiopia,Ethiopia,0,0,1394,57,1,0,0,0,0,0
Rendille,2,37.5,20,rel,1,1,0,1,0,0,560,4,0,0,1,0,0,0,1,1,0,0,?,0,?,?,?,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,3,0,0,7,7,14,7,5,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,Afro-Asiatic,Cushitic,?,?,?,?,0,Africa,Africa,Southern Africa,Kenya,0,0,554,57.5,?,?,?,?,?,?
