"wals","FAM","GEN","SUBGEN","OID_","Language","Population","Latitude","Longitude","Genus","Family","alt","bio1","bio4","bio12","bio17","X100alt","X100bio1","X100bio4","X100bio12","X100bio17","X500alt","X500bio1","X500bio4","X500bio12","X500bio17","ID","ISO.code","Language.1","Family.1","Region","Autotyp.area","Coordinates"
"djp","Pama-Nyungan","Yuulngu","SouthernYolngu",162,"Maori",60660,-40,176,112101,112,496,112,3533,1484,301,393.29,116.93,3485.52,1301.82,264.2,365,119.54,3414.83,1596.55,316.92,162,"duj ","Djapu ","Pama-Nyungan ","Australia ","Northern Australia ","-12.667, 136"
"djr","Pama-Nyungan","South-West","Ngumpin-Yapa",163,"Mapudungun",258620,-38,-72,108101,108,563,103,3752,1891,143,654.28,103.85,3797.49,1578.73,121.41,920.69,101.76,4385.66,867.77,80.89,163,"ddj ","Djaru ","Pama-Nyungan ","Australia ","Northern Australia ","-18.75, 128"
"djn","Pama-Nyungan","Yuulngu","Western-InlandYolngu",164,"Maranao",776000,7.83,124.25,112111,112,776,231,361,2846,416,487.81,245.99,395.48,2657.51,361.5,265.11,257.81,523.01,2518.01,341.04,164,"dji ","Djinang ","Pama-Nyungan ","Australia ","Northern Australia ","-12.5, 134.833"
"dyi","Pama-Nyungan","Dyirbalic","Dyirbalic",165,"Maranungku",15,-13.67,130,110110,110,24,276,2240,1260,5,50.94,275.35,2331.65,1240.35,5.3,171.23,271.65,2934.35,999.46,8.28,165,"dbl ","Dyirbal ","Pama-Nyungan ","Australia ","Northern Australia ","-17.583, 145.5"
"mar","Cochimi-Yuman","GeneralYuman","RiverYuman",166,"Maricopa",100,33.17,-113.17,142102,142,346,219,7586,167,8,380.56,215.49,7510.45,176.67,9.67,945.48,169.84,6946.22,273.37,21.77,166,"bdy-3 ","Bandjalang-3 ","Pama-Nyungan ","Australia ","Australia ","-28.25, 152.417"
"gug","Pama-Nyungan","South-West","Wati",167,"Marind",7000,-7.83,140.17,161101,161,17,264,845,1874,150,24.41,263.5,822.55,2025.81,193.72,420.11,246.45,683.1,3234.41,589.62,167,"ktd ","Gugada ","Pama-Nyungan ","Australia ","Australia ","-30, 134"
"gum","Pama-Nyungan","Gumbaynggiric","Gumbaynggiric",168,"Martuthunira",5,-20.83,116.5,110102,110,4,266,4182,265,2,94.86,264.98,4422.11,295.83,4.84,284.79,254.37,5234.78,293.16,9.15,168,"kgs ","Gumbaynggir ","Pama-Nyungan ","Australia ","Australia ","-30.167, 152.5"
"ggu","Pama-Nyungan","Waka-Kabic","Than",169,"Wichφ",28600,-22.5,-62.58,162101,162,247,230,3921,570,14,250.29,231.36,3925.92,641.73,16.86,879.86,208.73,3555.15,653.76,30.82,169,"gnr ","Gureng Gureng ","Pama-Nyungan ","Australia ","Australia ","-25.25, 151"
"guu","Pama-Nyungan","GuuguYimidhirr","GuuguYimidhirr",170,"Maung",260,-11.92,133.5,110111,110,27,275,1662,1286,5,74.36,272.46,1731.37,1334.41,4.89,109.49,270.55,2486.3,1158.62,6.55,170,"kky ","Guugu Yimidhirr ","Pama-Nyungan ","Australia ","Northern Australia ","-15, 144.833"
"kgu","Pama-Nyungan","Galgadungic","Galgadungic",171,"Maxakalφ",1270,-18,-40,160104,160,111,241,1490,1020,155,138.87,240.56,1491.13,1139.06,167.99,517.04,222.57,1661.29,1099.93,87.1,171,"ktg ","Kalkatungu ","Pama-Nyungan ","Australia ","Australia ","-21, 139.5"
