"wals","FAM","GEN","SUBGEN","OID_","Language","Population","Latitude","Longitude","Genus","Family","alt","bio1","bio4","bio12","bio17","X100alt","X100bio1","X100bio4","X100bio12","X100bio17","X500alt","X500bio1","X500bio4","X500bio12","X500bio17","ID","ISO.code","Language.1","Family.1","Region","Autotyp.area","Coordinates"
"dji","Mirndi","WestBarkly","WestBarkly",220,"Sßliba(Colombia)",1300,6,-70,184101,184,95,272,855,2212,70,106.79,271.71,854.8,2227.48,75.06,431.14,254.85,704.14,2241.97,147.43,220,"jig ","Djingili ","Mirndi ","Australia ","Northern Australia ","-17.25, 133.833"
"wam","Mirndi","WestBarkly","WestBarkly",221,"Bajau(Sama)",248000,-4.33,123,112115,112,0,0,0,0,0,103.1,265.73,632.07,1948.78,220.46,430.59,246.23,499.84,2115.33,276.31,221,"wmb ","Wambaya ","Mirndi ","Australia ","Northern Australia ","-18.667, 135.75"
"mku","Western_Daly","Wagaydy","Wagaydy",222,"Sanuma",5070,4.5,-64.67,215101,215,653,237,255,3156,267,830.53,227.72,294.69,3142.74,289.86,352.35,256.47,498.26,2444.07,244.69,222,"zmr ","Maranungku ","Western Daly ","Australia ","Northern Australia ","-13.5, 130"
"svs","Savosavo","Savosavo","Savosavo",223,"Savosavo",2420,-9.13,159.8,192102,192,95,262,392,2421,360,186.48,256.75,416.32,2566.18,411.6,137.26,260.05,413.82,3189.68,617.44,223,"uge ","Maranungku ","Austronesian ","Pacific ","Pacific ","-8.5, 157.33"
"mrr","Western_Daly","Bringen","Maringarr-Matige",224,"Sedang",97520,14.83,108,111107,111,1115,207,1761,2487,56,728.74,227.13,1937.11,2307.07,67.95,296.59,252.26,1873.25,1931.81,49.09,224,"zmt ","Maringarr ","Western Daly ","Australia ","Northern Australia ","-14.25, 130"
"mrh","Western_Daly","Bringen","Marithielic",225,"Selknam",0,-53,-70,129101,129,107,60,2963,372,69,112.82,59.96,2985.15,377.22,70.33,267.78,57.51,3375.2,721.19,154.97,225,"mfr ","Marrithiyel ","Western Daly ","Australia ","Northern Australia ","-13.833, 130"
"gnn","Worrorran","NorthernWorrorran","NorthernWorrorran",226,"Semelai",4100,3,103,111110,111,49,266,561,2335,369,82.27,263.42,527.59,2353.43,382.51,179.54,259.35,408.56,2539.22,417.48,226,"gww ","Kwini ","Wororan ","Australia ","Northern Australia ","-14.333, 126.75"
"ung","Worrorran","Worrorran","Worrorran",227,"Seneca",100,42.5,-77.5,146102,146,548,67,8949,880,149,416.44,74.4,9032.31,880.56,156.14,294.86,77.93,9331.09,1003.35,204.5,227,"ung ","Ngarinyin ","Wororan ","Australia ","Northern Australia ","-16.5, 125.5"
"wor","Worrorran","WesternWorrorran","WesternWorrorran",228,"Tashlhiyt",3890000,31,-5,101104,101,873,207,7631,73,7,975.77,200.29,7639.63,87.31,7.7,797.4,197.84,7162.25,209.95,9.98,228,"unp ","Worora ","Wororan ","Australia ","Northern Australia ","-15.667, 124.667"
"wag","Wagiman","Wagiman","Wagiman",229,"Shipibo-Konibo",26000,-7.5,-75,180101,180,142,267,551,1814,268,230.41,263.74,524.74,1986.87,281.69,942.33,223.06,577.45,1798.09,240.39,229,"waq ","Wagiman ","Wagiman ","Australia ","Northern Australia ","-14, 131.25"
"wrd","Yangmanic","Yangmanic","Yangmanic",230,"Shiriana",800,3.5,-62.83,215101,215,445,249,365,2124,349,448.47,248.83,370.73,2193.76,347.31,360.9,254.47,434.95,2290.34,257.87,230,"wrr ","Wardaman ","Yangman ","Australia ","Northern Australia ","-15.5, 131"
"sml","Austroasiatic","Mon-Khmer","Aslian",231,"Shuswap",680,52,-120,185103,185,800,43,8362,646,118,1372.11,18.62,7817.01,744.85,142.83,1265.48,20.55,8114.08,676.37,111.72,231,"sza ","Semelai ","Austro-Asiatic ","Eurasia ","Southeast Asia ","3, 102.5"
"tmr","Austroasiatic","Mon-Khmer","Aslian",232,"Miwok(SouthernSierra)",50,37.5,-120,182101,182,632,145,6612,754,11,810.68,131.98,6392.04,613.24,15.4,1122.26,118.65,6596.71,452.78,23.95,232,"tea ","Temiar ","Austro-Asiatic ","Eurasia ","Southeast Asia ","4.833, 101.333"
"bra","Austroasiatic","Mon-Khmer","EasternMon-Khmer",233,"Sindhi",20271010,26,69,145102,145,20,270,6411,158,5,29.47,269.3,6389.51,158.88,5.01,299.03,254.65,6198.76,228.6,6.95,233,"brb ","Brao ","Austro-Asiatic ","Eurasia ","Southeast Asia ","14, 107"
"chr","Austroasiatic","Mon-Khmer","EasternMon-Khmer",234,"Sinhala",15577690,7,80.5,145102,145,436,249,658,4124,409,349.29,253.12,764.16,2493.07,316.5,151.79,271.97,1371.79,1494.42,133.78,234,"crw ","Chrau ","Austro-Asiatic ","Eurasia ","Southeast Asia ","10.667, 107.5"
"sap","Austroasiatic","Mon-Khmer","EasternMon-Khmer",236,"Soqotri",64000,12.5,54,101101,101,654,236,1948,122,14,242.19,259.19,1908.28,90.58,9.22,320.77,260.87,2289.61,61.01,4.45,236,"spu ","Sapuan ","Austro-Asiatic ","Eurasia ","Southeast Asia ","15.333, 106.833"
"sed","Austroasiatic","Mon-Khmer","EasternMon-Khmer",237,"KoyraChiini",200000,17,-3,172110,172,268,282,4426,159,0,272.01,283.88,4261.76,166.22,0,300.78,285.88,4252.37,219.63,0.09,237,"sed ","Sedang ","Austro-Asiatic ","Eurasia ","Southeast Asia ","14.667, 108"
"sre","Austroasiatic","Mon-Khmer","EasternMon-Khmer",238,"Sora",253000,20,84.33,111102,111,619,242,3313,1296,40,375.05,254.76,3399.23,1303.09,34.03,347.67,258.34,4055.12,1350.95,23.64,238,"kpm ","Sre ","Austro-Asiatic ","Eurasia ","Southeast Asia ","11.5, 108"
"sti","Austroasiatic","Mon-Khmer","EasternMon-Khmer",239,"Spanish",405638110,40,-4,145105,145,529,148,6873,389,43,722.67,136.23,6710.54,427.37,48.35,681.17,133.53,5942.46,591.18,68.02,239,"sti ","Stieng ","Austro-Asiatic ","Eurasia ","Southeast Asia ","12, 107"
"ktu","Austroasiatic","Mon-Khmer","EasternMon-Khmer",240,"Squamish",70,49.67,-123.17,185104,185,737,62,6043,1331,149,875.4,54.59,6002.96,1183.27,143.7,952.08,46.4,6557.97,1074.18,123.23,240,"ktv ","Katu ","Austro-Asiatic ","Eurasia ","Southeast Asia ","15.833, 107.583"
"khs","Austroasiatic","Mon-Khmer","Khasi-Palaung",241,"Taba",20000,0,127.5,112106,112,-1,267,266,1881,327,148.29,259.01,289.68,1919.9,329.45,210.55,257.4,442.99,2273.44,377.98,241,"kha ","Khasi ","Austro-Asiatic ","Eurasia ","South Asia ","26, 92"
"khm","Austroasiatic","Mon-Khmer","EasternMon-Khmer",242,"Tacana",1820,-13.5,-68,193101,193,233,255,1167,1902,192,342.19,250.38,1154.43,1897.6,187.19,1315.28,203.18,1240.59,1640.56,123.54,242,"khm ","Khmer ","Austro-Asiatic ","Eurasia ","Southeast Asia ","12, 105"
"mon","Austroasiatic","Mon-Khmer","Monic",243,"Tagalog",24216200,15,121,112116,112,32,271,1060,2477,62,193.65,262.31,1012.69,2596.6,111.44,254.01,258.86,1058.54,2613.34,180.63,243,"mnw ","Mon ","Austro-Asiatic ","Eurasia ","Southeast Asia ","15, 100"
"ho","Austroasiatic","Munda","NorthMunda",246,"PurΘpecha",55000,19.5,-101.67,224101,224,2297,150,1878,1164,27,1619.09,198.66,1906.17,990.58,20.62,1498.68,200.16,2217.01,897.72,29.04,246,"hoc ","Ho ","Austro-Asiatic ","Eurasia ","South Asia ","22, 86"
"khr","Austroasiatic","Munda","SouthMunda",247,"Tausug",1062000,6,121,112116,112,195,258,320,1984,299,20.42,267.77,336.45,1874.74,298.67,198.06,261.07,370.35,2397.28,380.3,247,"khr ","Kharia ","Austro-Asiatic ","Eurasia ","South Asia ","22.5, 84.333"
"kku","Austroasiatic","Munda","NorthMunda",248,"Tehuelche",0,-48,-68,129101,129,124,107,4732,224,44,215.08,101.67,4730.27,221.27,42.55,437.63,88.14,4629.65,197.58,34.08,248,"kfq ","Korku ","Austro-Asiatic ","Eurasia ","South Asia ","24.5, 78.5"
"mun","Austroasiatic","Munda","NorthMunda",249,"Telugu",74049000,16,79,132103,132,538,265,3054,726,7,312.85,277.51,3111.53,710.86,8.35,398.54,268.59,2957.51,880.46,11.08,249,"unr ","Mundari ","Austro-Asiatic ","Eurasia ","South Asia ","24, 86.167"
"rem","Austroasiatic","Munda","SouthMunda",250,"Tetun",463500,-9,126,112109,112,64,265,1016,1622,53,449,244.31,954.99,1688.76,62.62,278.42,254.4,824.29,1402.86,44.5,250,"bfw ","Remo ","Austro-Asiatic ","Eurasia ","South Asia ","18.333, 82.333"
"stl","Austroasiatic","Munda","NorthMunda",251,"Tigak",6000,-2.72,150.8,112101,112,15,269,237,3127,563,73.97,266.3,253.42,3191.53,580.74,270.84,254.23,384.18,3404.86,614.61,251,"sat ","Santali ","Austro-Asiatic ","Eurasia ","South Asia ","24.5, 87"
"sor","Austroasiatic","Munda","SouthMunda",252,"TigrΘ",1050000,16.5,38.5,101101,101,1795,191,2597,399,8,920.67,248.01,2731.16,316.36,23.98,743.04,266.41,2660.11,351.6,12.53,252,"srb ","Sora ","Austro-Asiatic ","Eurasia ","South Asia ","20, 84.333"
"nnc","Austroasiatic","Mon-Khmer","Nicobar",253,"Tiruray",50000,6.75,124.17,112117,112,489,248,347,2372,318,306.09,256.93,350.6,2157,300.72,284.53,256.25,473.02,2520.97,360.2,253,"ncb ","Nancowry ","Austro-Asiatic ","Eurasia ","Southeast Asia ","8, 93.5"
"nca","Austroasiatic","Mon-Khmer","Nicobar",254,"Tiwi",1740,-11.5,131,110115,110,39,271,1398,1663,12,28.24,271.49,1420.48,1675.37,11.84,114.16,271.68,2331.02,1233.97,8.11,254,"caq ","Car ","Austro-Asiatic ","Eurasia ","Southeast Asia ","9.167, 92.75"
"kmu","Austroasiatic","Mon-Khmer","NorthernMon-Khmer",255,"Toaripi",23000,-8.33,146.25,134101,134,6,264,736,1797,291,562.24,238.91,713.77,2309.94,357.57,717.74,230.51,668.7,2944.87,473.04,255,"kjg ","Khmu ","Austro-Asiatic ","Eurasia ","Southeast Asia ","19, 100.75"
"mlm","Austroasiatic","Mon-Khmer","NorthernMon-Khmer",256,"Tol",350,14.67,-87,198101,198,869,223,1579,1186,57,926.99,220.42,1501.92,1329.92,87.88,421.66,243.23,1185.12,1962.63,124.96,256,"mra ","Mlabri ","Austro-Asiatic ","Eurasia ","Southeast Asia ","18.833, 101"
"ton","Tonkawa","Tonkawa","Tonkawa",257,"Tonkawa",0,30.25,-96.75,199101,199,110,200,6777,971,201,111.38,198.83,6763.55,963.7,192.39,212.18,192.63,6973.31,901.96,161.09,257,"plw ","Palaung ","Austro-Asiatic ","Eurasia ","Southeast Asia ","22.667, 96.667"
"vie","Austroasiatic","Mon-Khmer","Viet-Muong",258,"Totonac(Papantla)",80000,20.33,-97.33,201101,201,69,243,3084,1325,141,775.44,210.2,2718.34,1552.61,148.13,1188.21,208.66,2283.71,1161.5,58.67,258,"vie ","Vietnamese ","Austro-Asiatic ","Eurasia ","Southeast Asia ","21.5, 106"
"ata","Austronesian","Atayalic","Atayalic",259,"Trumai",51,-11.92,-53.58,203101,203,285,250,872,2328,33,318.93,249.85,846.95,2147.98,25.36,341.67,252.11,839.83,1906.66,29.55,259,"tay ","Atayal ","Austronesian ","Pacific ","Southeast Asia ","24.5, 121"
"see","Austronesian","Atayalic","Atayalic",260,"Tsimshian(Coast)",350,52.5,-129,182106,182,2,85,3935,2797,371,156.98,74.31,4411.01,2886.65,367.09,762.77,38.52,5974.37,1530.5,202.41,260,"trv ","Seediq ","Austronesian ","Pacific ","Southeast Asia ","24.167, 121.417"
"kdz","Austronesian","Malayo-Polynesian","NorthBorneanMalayo-Polynesian",261,"Tsou",2130,23.5,120.75,112113,112,1215,174,3005,2875,99,756.83,195.47,3397.2,2358.35,117.5,461.86,192.7,5182.66,1829.06,149.13,261,"kzj ","Kadazan ","Austronesian ","Pacific ","Southeast Asia ","5.917, 117.167"
"myn","Austronesian","Malayo-Polynesian","GreaterBarito",262,"TukangBesi",130000,-5.5,123.5,112118,112,0,0,0,0,0,118.85,264.16,597.05,1831.22,125.2,298.79,252.81,586.47,1941.11,209.79,262,"mhy ","Maanyan ","Austronesian ","Pacific ","Southeast Asia ","-2, 115"
"tul","Dravidian","SouthDravidian","SouthDravidianI",263,"Tulu",1720000,12.75,75.33,132102,132,103,269,1222,4301,9,485.53,246.96,1338.74,3429.13,12.07,496.05,259.23,1944.48,1316.59,20.44,263,"bhr ","Malagasy ","Austronesian ","Africa ","Southeast Asia ","-20, 47"
"tat","Austronesian","Malayo-Polynesian","NorthBorneanMalayo-Polynesian",264,"Turkish",50733420,39,35,105101,105,1264,89,7076,406,30,1231.83,94.44,7269.56,406.7,29.43,1048.23,112.67,7394.68,538.43,40.96,264,"txx ","Tatana ","Austronesian ","Pacific ","Southeast Asia ","5.5, 115.5"
"tim","Austronesian","Malayo-Polynesian","NorthBorneanMalayo-Polynesian",265,"Tuvan",283400,52,95,105101,105,1322,-59,16043,570,46,1209.4,-53.31,16109.2,547.03,43.42,1296.55,-47.45,15254.8,428.36,30.14,265,"tih ","Timugon ","Austronesian ","Pacific ","Southeast Asia ","5, 116"
"aln","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",266,"Tzeltal(Aguacatena)",372000,16.42,-92.5,163101,163,1035,223,1331,1382,17,1143.21,212.16,1361.59,1533.2,70.26,528.85,238.59,1587.77,1866.5,118.53,266,"alp ","Alune ","Austronesian ","Pacific ","Pacific ","-3.167, 128.333"
"buu","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",267,"Urub·-Kaapor",800,-2.33,-46.5,206101,206,76,264,419,2178,169,71.55,264.79,409.31,2177.15,154.79,96.53,266.79,454.7,1966.2,93.97,267,"mhs ","Buru ","Austronesian ","Pacific ","Pacific ","-3.5, 126.5"
"kam","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",268,"Usan",1400,-4.83,145.17,202101,202,510,245,202,3070,411,284.17,255.11,222.36,3358.63,446.29,693.31,233.22,494.51,3217.6,568.92,268,"xbr ","Kambera ","Austronesian ","Pacific ","Pacific ","-9.833, 120.5"
"lmh","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",269,"Uzbek(Northern)",16500000,40.67,66.5,105101,105,537,137,9576,280,5,521.64,136.98,9603.86,279.66,5.51,564.65,128.5,10003,284.65,7.85,269,"slp ","Lamaholot ","Austronesian ","Pacific ","Pacific ","-8.25, 123"
"lrk","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",270,"WesternDesert",12,-30.5,132,110102,110,117,189,4358,192,40,139.75,186.84,4379.31,199.98,39.25,223.34,190.97,5034.44,204.74,34.65,270,"alo ","Larike ","Austronesian ","Pacific ","Pacific ","-3.783, 127.917"
"let","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",271,"WestMakian",12000,0.5,127.58,214102,214,21,265,292,2066,362,180.74,257.17,288.59,2120.03,376.33,205.36,257.59,423.2,2258.29,383.41,271,"lti ","Leti ","Austronesian ","Pacific ","Pacific ","-8.167, 128.167"
"mng","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",273,"Wantoat",8200,-6.17,146.5,202112,202,1131,214,509,2219,266,1220.06,208.53,550.07,2263.45,306.59,731.13,230.61,568.05,3065.09,506.47,273,"mqy ","Manggarai ","Austronesian ","Pacific ","Pacific ","-8.667, 120.333"
"ngd","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",274,"Waorani",1650,-1,-76.5,210101,210,252,250,465,3137,622,272.33,249.39,476.47,3140.73,614.7,685.62,232.59,494.55,2500.76,424.12,274,"nxg ","Ngadha ","Austronesian ","Pacific ","Pacific ","-8.833, 121"
"wps","Arawakan","Maipuran","NorthernMaipuran",275,"Wapishana",12500,2.67,-60,109101,109,117,272,638,1605,85,152.86,269.81,619.39,1589.09,96.71,279.75,259.12,501.94,2077.07,240.27,275,"nxl ","Nuaulu ","Austronesian ","Pacific ","Pacific ","-3.25, 129.083"
"wap","Yuki-Wappo","Yuki-Wappo","Yuki-Wappo",276,"Wappo",3,38.5,-122.5,211101,211,424,137,4826,1057,12,236.17,141.54,4826.87,803.35,10,962.99,110.68,6008.11,690.41,27.73,276,"ple ","Palue ","Austronesian ","Pacific ","Pacific ","-8.333, 121.75"
"plh","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",277,"Warao",28100,9.33,-61.67,212101,212,8,263,610,1668,189,10.59,263.18,594.24,1637.98,185.58,232.5,258.26,537.84,1712.4,162.08,277,"plh ","Paulohi ","Austronesian ","Pacific ","Pacific ","-3.3, 128.8"
"saw","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",278,"Waray(Australia)",0,-13.17,131.25,110117,110,44,273,2163,1313,10,63.65,272.65,2141.01,1344.76,7.3,134.96,271.79,2827.35,1028.29,6.81,278,"hvn ","Sawu ","Austronesian ","Pacific ","Pacific ","-10.5, 122"
"ttn","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",279,"Wardaman",84,-15.5,131,110118,110,95,275,3324,855,3,155.8,271.63,3345.1,869.34,5.23,208.95,268.66,3452.86,830.9,9.16,279,"tet ","Tetun ","Austronesian ","Pacific ","Pacific ","-9.333, 125.083"
"tgn","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",280,"Wari'",2,-11.33,-65,125101,125,164,263,680,1659,48,162.63,263.02,674.34,1617.92,55.62,172.62,255.94,792.26,1815.8,95.63,280,"tzn ","Tugun ","Austronesian ","Pacific ","Pacific ","-7.833, 126.667"
"cha","Austronesian","Malayo-Polynesian","Chamorro",281,"Wichita",1,33.33,-97.33,120101,120,241,175,8024,925,150,244.55,177.46,8023.18,896.19,146.63,323.74,171.44,7908.2,896.25,148.03,281,"cha ","Chamorro ","Austronesian ","Pacific ","Pacific ","13.583, 145"
"bkl","Austronesian","Malayo-Polynesian","Philippine",283,"Wintu",0,41,-122.5,182102,182,1235,90,6192,1080,46,1031.5,103.16,6336.77,1009.32,42.62,1036.88,95.57,6073.85,811.7,44.77,283,"bcl ","Bikol ","Austronesian ","Pacific ","Pacific ","13.333, 123.5"
"ceb","Austronesian","Malayo-Polynesian","Philippine",284,"HuitotoMurui",1000,-1,-73.5,144102,144,179,263,628,2777,461,178.96,262.53,615.14,2802.96,468.1,260.51,256.31,541.56,2823.22,485.27,284,"ceb ","Cebuano ","Austronesian ","Pacific ","Pacific ","10, 124"
"hil","Austronesian","Malayo-Polynesian","Philippine",285,"Wiyot",0,40.83,-124.17,104102,104,7,116,2102,1108,33,532.44,105.87,4097.67,1542.41,40.51,864.31,100.56,5652.66,994.12,45.66,285,"hil ","Hiligaynon ","Austronesian ","Pacific ","Pacific ","10.25, 123"
"mmn","Austronesian","Malayo-Polynesian","Philippine",286,"Woisika",6000,-8.25,124.83,197101,197,1020,214,738,1618,72,326.93,252.85,752.98,1292.75,43.87,263.02,254.49,776.92,1461.9,63.01,286,"mmn ","Mamanwa ","Austronesian ","Pacific ","Pacific ","9.417, 125.5"
"tag","Austronesian","Malayo-Polynesian","Philippine",287,"Wolof",3976500,15.25,-16,171109,171,50,263,1794,433,1,36.73,264.53,1910,431.94,0.41,44.23,277.03,2476.88,618.44,0.36,287,"tgl ","Tagalog ","Austronesian ","Pacific ","Pacific ","14.75, 121"
"agc","Austronesian","Malayo-Polynesian","Philippine",288,"Yakut",450000,62,130,105101,105,143,-102,21561,252,24,166.95,-102.93,21516.3,260.51,23.68,440.53,-115.08,21016.5,328.18,26.95,288,"agt ","Agta ","Austronesian ","Pacific ","Pacific ","17.967, 121.833"
"btk","Austronesian","Malayo-Polynesian","Philippine",290,"Yanyuwa",120,-16.42,137.17,110102,110,84,265,3411,913,6,84.35,265.55,3476.3,877.27,5.63,160.52,262.39,3847.94,685.31,8.55,290,"bnc ","Bontok ","Austronesian ","Pacific ","Pacific ","17.083, 120.917"
"ifu","Austronesian","Malayo-Polynesian","Philippine",291,"Yapese",7390,9.58,138.17,112119,112,24,272,210,3028,436,24,271.86,219,3040.14,438.43,23.47,273.27,228.53,3194.93,480.4,291,"ifb ","Ifugao_Batad ","Austronesian ","Pacific ","Pacific ","16.833, 121.083"
"ilo","Austronesian","Malayo-Polynesian","Philippine",292,"Yareba",750,-9.5,148.5,216101,216,288,248,889,2259,354,615.62,232.23,926.03,2479,355.24,632.38,234.46,721.69,2746.85,444.21,292,"ilo ","Ilokano ","Austronesian ","Pacific ","Pacific ","16, 121"
"kpm","Austronesian","Malayo-Polynesian","Philippine",293,"Yawa",10000,-1.75,136.25,217101,217,832,227,393,3131,717,106.56,263.69,300.06,3062.13,680.22,569.77,240.97,530.05,3014.98,608.57,293,"pam ","Kapampangan ","Austronesian ","Pacific ","Pacific ","15.333, 120.5"
"pnn","Austronesian","Malayo-Polynesian","Philippine",294,"YelεDnye",3750,-11.37,154.17,218101,218,253,253,782,3266,630,68.3,261.93,766.74,2623.93,436.59,87.76,260.66,785.87,3114,584.18,294,"pag ","Pangasinan ","Austronesian ","Pacific ","Pacific ","15.917, 120.333"
"yes","Sepik","SepikTama","SepikTama",295,"Yessan-Mayo",1990,-4.17,142.58,188104,188,21,271,236,2738,468,240.04,259.06,240.3,2783.21,485.18,572.73,240.02,494.85,3305.24,608.06,295,"azr ","Adzera ","Austronesian ","Pacific ","North New Guinea ","-6.417, 146.25"
"all","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",296,"Yidiny",150,-17,145.75,110102,110,330,229,2502,2503,160,495.63,222.33,2596.18,2000.66,119.93,293.54,244.32,3099.47,977.7,27.25,296,"nrz ","Alaala ","Austronesian ","Pacific ","South New Guinea ","-9, 146.667"
"ama","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",297,"Yimas",300,-4.67,143.55,159101,159,39,271,231,3124,474,677.52,237.6,274.91,2823.69,436.6,595.92,238.43,510.38,3244.65,581.55,297,"aie ","Amara ","Austronesian ","Pacific ","North New Guinea ","-5.533, 148.667"
"aml","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",298,"Djapu",45,-12.67,136,110102,110,80,267,1911,1283,9,49.35,269.02,1915.3,1275.03,8.79,109.93,269.7,2669.32,1075.89,6.21,298,"omb ","Ambae_West ","Austronesian ","Pacific ","Pacific ","-15.5, 167.75"
"anj","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",299,"Yuchi",5,35.75,-86.75,220101,220,237,143,8035,1346,269,237.63,142.62,7989.59,1365.76,270.49,221.32,144.28,8004.24,1309.99,260.02,299,"aty ","Anejom ","Austronesian ","Pacific ","Pacific ","-20.25, 169.833"
"alk","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",301,"Yukaghir(Kolyma)",370,65.75,150.83,221101,221,48,-113,19100,260,28,66.62,-114.37,19099.1,253.4,27.04,383.51,-130.94,18437.9,263.68,27.95,301,"apr ","Arop-Lokep ","Austronesian ","Pacific ","North New Guinea ","-5.333, 147.083"
"aro","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",302,"Yukaghir(Tundra)",370,69,155,221101,221,29,-131,17617,178,19,24.49,-131.13,17586.9,176.27,18.96,117.63,-131.42,17696.7,199.75,22.05,302,"aia ","Arosi ","Austronesian ","Pacific ","Pacific ","-10.333, 161.5"
"yur","Algic","Yurok","Yurok",304,"Yurok",12,41.33,-124,104103,104,212,109,3146,1646,54,664.36,100.05,4438.86,1459.18,48.68,898.19,96.99,5696.78,1011.78,50.33,304,"wiv ","Bali-Vitu ","Austronesian ","Pacific ","North New Guinea ","-4.733, 149.283"
"bnn","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",305,"Zoque(Copainla)",10000,17,-93.25,164101,164,578,238,1709,1080,59,728.06,231.04,1687.53,1864.77,142.76,608.28,235.14,1620.07,1819.18,111.19,305,"bcm ","Banoni ","Austronesian ","Pacific ","Pacific ","-6.417, 155.25"
"bum","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",306,"Zuni",9650,35.08,-108.83,223101,223,2011,96,7855,310,36,2101.42,90.89,7733.69,321.67,38.38,1812.6,111.15,7757.7,357.64,43.87,306,"tkw ","Buma ","Austronesian ","Pacific ","Pacific ","-11.63, 166.83"
"cem","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",307,"Cocopa",350,32.33,-115,142102,142,15,227,6581,64,2,108.28,217.49,6577.53,90.78,3.01,640.6,186.28,6609.02,225.26,13.59,307,"cam ","Cemuhi ","Austronesian ","Pacific ","Pacific ","-20.833, 165"
"cuu","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",308,"//Ani",1000,-18.92,21.92,154101,154,989,222,3817,448,1,1001.11,220.87,3777.63,471.47,0.68,1083.09,215.79,3645.42,545.47,1.1,308,"chk ","Chuukese ","Austronesian ","Pacific ","Pacific ","7.333, 151.75"
"dre","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",309,"Achumawi",10,41.5,-121,142101,142,1460,77,6727,420,41,1495.77,74.1,6720.67,467.71,42.46,1152.28,90.02,6438.91,694.57,45.39,309,"dhv ","Drehu ","Austronesian ","Pacific ","Pacific ","-21, 167.083"
"err","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",310,"Aghem",26700,6.67,10,171101,171,695,243,1039,1870,34,653.72,244.88,1059.22,1833.07,35.05,472.04,252.66,1215.01,1655.36,44.06,310,"erg ","Sye ","Austronesian ","Pacific ","Pacific ","-18.633, 168.917"
"fij","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",311,"Ainu",10,43,143,102101,102,118,65,10030,1670,202,476.76,46.16,9867.07,1343.49,191.77,269.17,61.13,9202.14,1234.94,199.21,311,"fij ","Fijian ","Austronesian ","Pacific ","Pacific ","-18, 178.333"
"fue","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",312,"Akan",8314600,6.5,-1.25,171102,171,197,263,897,1591,121,215.72,257.29,971.98,1482.84,117.69,187.98,268.32,1252.4,1240.26,62.15,312,"fud ","Futuna_East ","Austronesian ","Pacific ","Pacific ","-15, -178.5"
"ald","Atlantic-Congo","Volta-Congo","KwaVolta-Congo",313,"Alladian",23000,5.17,-4.33,171102,171,13,267,1022,1780,135,47.58,266.66,1063.35,1608.2,134.5,202.6,262.43,1076.12,1428.02,106.35,313,"fut-2 ","Futuna_West ","Austronesian ","Pacific ","Pacific ","-19.667, 170.667"
"gap","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",314,"Amo",12300,10.33,8.67,171103,171,800,245,1685,1237,1,814.18,243.73,1728.18,1216.6,2.66,386.52,263.5,2074.32,1009.59,6.47,314,"pwg ","Gapapaiwa ","Austronesian ","Pacific ","South New Guinea ","-9.8, 149.833"
"gel","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",315,"Andoke",370,-0.67,-72,106101,106,129,267,646,2922,476,177.86,263.52,626.2,2908.8,486,175.88,260.26,563.31,2925.08,487.87,315,"nlg ","Gela ","Austronesian ","Pacific ","Pacific ","-9.167, 160.333"
"gmw","Austronesian","Malayo-Polynesian","Central-EasternMalayo-Polynesian",316,"Angaatiha",2100,-7.22,146.25,202102,202,1635,189,607,2444,417,1063.75,216.21,642.89,2496.13,423.85,712.85,231.18,617.06,2998.75,487.51,316,"gvs ","Gumawana ","Austronesian ","Pacific ","South New Guinea ","-9.25, 150.833"
