lat1	lat2	lat3	lat4	times1	times2	dists
39.9933465187203	62.1854226315	31.689295518975	48.2569187837	0.000133797592580836	8.02447578752287e-05	1557.10119189674
31.689295518975	48.2569187837	13.7215571981434	43.938890354	8.02447578752287e-05	4.15274887877021e-05	2048.11751860908
13.7215571981434	43.938890354	5.6135404328195	40.8921890595	4.15274887877021e-05	5.05484016341062e-05	962.409123554366
5.6135404328195	40.8921890595	5.22291928047684	52.5642744895	5.05484016341062e-05	5.32551383445284e-05	1294.23325211173
5.22291928047684	52.5642744895	10.9146684296106	87.3978370482	5.32551383445284e-05	3.89272420119883e-05	3888.34134550263
10.9146684296106	87.3978370482	13.7418616044572	96.8538552223	3.89272420119883e-05	9.4165240285036e-08	1075.28158446224
13.7418616044572	96.8538552223	16.3540677953259	99.2543009807	9.4165240285036e-08	1.60578521332928e-09	388.761224101539
16.3540677953259	99.2543009807	31.5147238407283	136.383356826	1.60578521332928e-09	1.1449702428759e-09	4111.06331180616
31.5147238407283	136.383356826	31.6804320902517	114.135519332	1.1449702428759e-09	2.04334093048542e-09	2105.859976819
31.6804320902517	114.135519332	29.8853348644344	97.3930804039	2.04334093048542e-09	4.77958067893712e-09	1611.97717380752
29.8853348644344	97.3930804039	24.0646240269522	86.7582966783	4.77958067893712e-09	3.74973631334932e-09	1237.19047952171
24.0646240269522	86.7582966783	20.9596778463939	91.1072532932	3.74973631334932e-09	1.35771696229553e-09	565.151712233513
20.9596778463939	91.1072532932	20.6469386716228	85.5690107328	1.35771696229553e-09	1.82279501151717e-09	577.342049570814
20.6469386716228	85.5690107328	19.7376932916011	92.8720291864	1.82279501151717e-09	1.23997617642452e-09	769.614676176445
19.7376932916011	92.8720291864	21.8163753878616	82.3695802503	1.23997617642452e-09	2.55642018663272e-09	1117.04743135462
21.8163753878616	82.3695802503	25.6567589254491	77.2278475478	2.55642018663272e-09	1.59462279074622e-09	676.092775021483
25.6567589254491	77.2278475478	25.8596237744373	77.2020867599	1.59462279074622e-09	1.0621093480849e-09	22.7300217304646
25.8596237744373	77.2020867599	31.4932238331226	89.0828395586	1.0621093480849e-09	1.7322985281705e-09	1317.76450847319
31.4932238331226	89.0828395586	33.3410473432137	39.1021492572	1.7322985281705e-09	1.08195636535808e-08	4655.79117598715
33.3410473432137	39.1021492572	41.1533319999999	20.168331	1.08195636535808e-08	2.13205444103173e-12	1884.12616474252
33.3410473432137	39.1021492572	26.820553	30.802498	1.08195636535808e-08	1.98410338857677e-12	1079.06035499233
31.4932238331226	89.0828395586	31.9399704000929	92.6394027689	1.7322985281705e-09	1.25937958350789e-09	340.423826084476
31.9399704000929	92.6394027689	30.9673485985679	108.028173392	1.25937958350789e-09	2.77984164755439e-09	1464.1253389521
30.9673485985679	108.028173392	31.063279380766	136.762233347	2.77984164755439e-09	1.14396968359705e-09	2733.60351494835
31.063279380766	136.762233347	39.2906456798198	78.2290516543	1.14396968359705e-09	1.02510265044112e-09	5311.62606856901
39.2906456798198	78.2290516543	38.5483567620962	37.8505225692	1.02510265044112e-09	1.92281719451209e-08	3468.72253768411
38.5483567620962	37.8505225692	39.4474128630896	34.3649053034	1.92281719451209e-08	2.26134701394436e-08	317.703091121216
39.4474128630896	34.3649053034	38.0753563953248	29.1588601343	2.26134701394436e-08	2.31900948245812e-08	476.923787400678
38.0753563953248	29.1588601343	39.0347484891442	25.6326646844	2.31900948245812e-08	7.46701329340134e-06	324.986092522237
39.0347484891442	25.6326646844	42.7338829999999	25.48583	7.46701329340134e-06	2.04093151211051e-12	411.970948947666
39.0347484891442	25.6326646844	37.5999938000001	14.0153557	7.46701329340134e-06	2.04096014487967e-12	1026.41217732542
38.0753563953248	29.1588601343	30.5851640000001	36.238414	2.31900948245812e-08	2.09102612688285e-12	1056.95756354746
39.4474128630896	34.3649053034	43.0451302000001	44.2870972	2.26134701394436e-08	2.02756617238378e-12	921.191444042531
38.5483567620962	37.8505225692	38.963745	35.243322	1.92281719451209e-08	2.02590095888469e-12	230.994913259726
39.2906456798198	78.2290516543	43.9956598462369	46.2511462107	1.02510265044112e-09	4.97292082594791e-10	2693.59399237396
43.9956598462369	46.2511462107	51.2118512271914	30.8858586029	4.97292082594791e-10	2.72646512122266e-06	1401.03966454518
51.2118512271914	30.8858586029	50.0850736000002	14.4328744	2.72646512122266e-06	2.06058567968564e-12	1165.60943422287
51.2118512271914	30.8858586029	58.2427552	32.5665191	2.72646512122266e-06	2.06058567968564e-12	790.032890247076
43.9956598462369	46.2511462107	40.8708115144537	53.3405515859	4.97292082594791e-10	4.4584110207072e-10	678.074975511821
40.8708115144537	53.3405515859	35.7367383675312	51.6015729024	4.4584110207072e-10	1.01677208235118e-09	591.328779934704
35.7367383675312	51.6015729024	33.635776392925	43.8343969746	1.01677208235118e-09	3.57399254243343e-10	748.194800198504
33.635776392925	43.8343969746	39.8736869541901	37.0977041664	3.57399254243343e-10	2.02287360154713e-09	917.661395850333
39.8736869541901	37.0977041664	43.5276567601258	28.1877589427	2.02287360154713e-09	1.8917111934805e-09	844.240433596666
43.5276567601258	28.1877589427	48.1074993716492	18.3137572076	1.8917111934805e-09	1.33005140495886e-10	919.085454382494
48.1074993716492	18.3137572076	50.0694940006866	17.5330231057	1.33005140495886e-10	1.3970977345502e-10	225.699205929861
50.0694940006866	17.5330231057	61.9241099999999	25.748151	1.3970977345502e-10	2.13220604740155e-12	1412.66510499347
50.0694940006866	17.5330231057	45.0522365999998	7.5153885	1.3970977345502e-10	2.11240108164995e-12	935.82932769561
