Language	Latitude	Longitude	Number of consonants in the onset	Number of consonants in the coda	Number of tones	Language family	Iso-code	Population	Number in the sample	A	B4a1a1	B4a2	B4b1	B4c1b	B4c2	B4g	B5a	B5b	C	D5	E1	E2	F1a1a	F2	F3a	F3b	F4	G	M10	M12	M17	M19	M20	M21a	M21b	M22	M33c	M47	M50	M51	M71	M72	M73	M77	M7b1	M8a	M9	N10	N21	N22	N9a6	P	Q	R11	R21	R22	R23	R9b	R9c	U	W	Y	Z	A2	A5	A8	B4	B5	C1	C4	C5	D2	D3	D4	F1	F2a	G1	G2a	G3	M3a	M7	M8a2	M9a	M11	M13a	N9a	R9	L2a	H	HV	HV0a	V	R0a	R2	J1	J2	T1	N1	I	N2	U1	U2	U3	U4	U5	U7a	U8	K	X2e	B	D	F	J	T	H1	H3	H4	H5	H8	J1b	J1b1	K1	K2	K2a	K2b	T2	T3	U5a	U5a1	U5b	U5b1	U6	U7	X	L2	A1	A1a	A2a	A2b	N9b	JT	B4a	B4a1	B4a3	B4b	B4c1	B4f	B5a1	B5b1	B5b2	B5b3	F1a	F1a1	F1b	F1c	F3	F4b	M	M7a	M7a1	M7b	M7b2	M7c	M8	C4a	G2a1	D4a	D4a1	D4b	D4d	D4k	D4n	D5a	L1	L3	M1	M5	N	R1	E	HV0	HV1	HV2	N1a	N1b	N2a	N9	R	U9	M2	M3	A6	B4e	G2	M7c1	L0d1	L0d2	L0d3	L0k1a	L0k1b	L0k2	C1a	D1a	S	M27a	M27b	M27c	M28a	M28b	M29a	M29b	P1	P1d	P1d1	Q1	Q1a	Q1b	Q1c	Q2a	Q2a2	B4a1a	B4a1a1a	B4a1a1a1	B4a1a1a3	B4a1a1a4	B4a1a1b	B4b1a2	B5b1c	B5b2a1b1	E1a2	E1b1	E2a	H1a	L0a	L1b	L1c	L2b	L2c	L2d	L2e	L3b	L3d	L3e	L3f	L3h	L4b	U6a	L0d	L0k	G1a	L0	M9b	E1b	M7c3	R5	R6	U2a	U2b	U2c	U2e	U8b
Russian	55	38	4	4	0	Indo-European	rus	EuropeanRussia	215	0	0	0	0	0	0	0	0	0	0.0186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2606	0.0233	0	0.0047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4233	0.4652	0.0419	0.0419	0	0	0.0047	0.0093	0.0372	0.014	0.014	0.0233	0.0047	0	0.0047	0.0837	0.1396	0	0.0279	0.0279	0	0	0.0186	0	0.0791	0.1023	0.0558	0	0	0	0.0326	0.0047	0	0	0.0093	0	0	0.0186	0	0.0884	0.0093	0.0512	0.0279	0	0	0	0	0	0	0	0	0	0.1814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0419	0	0	0	0	0	0.0233	0	0	0	0	0	0	0	0	0	0	0.9864	0	0	0.9445	0	0	0.0419	0	0	0.014	0	0	0	0.9072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0279
German	50	10	3	3	0	Indo-European	deu	Germany	527	0	0	0	0	0	0	0	0	0	0.0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2069	0.0209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4896	0.5408	0.0512	0.0512	0	0	0.0228	0.0019	0.0247	0.0228	0.0228	0.0209	0.0038	0.0057	0.0114	0.0266	0.0911	0	0.0664	0.0664	0	0	0.0038	0	0.093	0.0911	0.0436	0.0114	0.0152	0.0076	0.0285	0.0019	0.0019	0.0019	0.0076	0	0	0.0019	0.0019	0.0512	0.0019	0.038	0	0	0	0.0076	0	0	0	0	0	0	0.1841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0057	0	0	0	0	0	0.0019	0	0	0	0	0	0	0	0	0	0	0.9888	0	0	0.9831	0	0	0.0512	0	0	0.0228	0	0	0	0.9318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0664
Icelandic	65	-19	4	3	0	Indo-European	isl	Iceland	467	0	0	0	0	0	0	0	0	0	0.0043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.195	0.0021	0	0.0021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4755	0.4926	0.0171	0.0171	0	0	0.06	0.0128	0.0043	0.0471	0.0471	0.0021	0	0	0	0.0214	0.0943	0	0.0772	0.0772	0	0	0	0	0.1413	0.1007	0.0835	0.0043	0.0964	0.0043	0.0043	0.0557	0.0557	0.0236	0.0043	0	0	0.0257	0.0493	0.0557	0	0.0343	0	0	0	0.015	0	0	0	0	0	0	0.242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0064	0	0	0	0	0	0.0064	0	0	0	0	0	0	0	0	0	0	1.0002	0	0	0.9938	0	0	0.0171	0	0	0.0471	0	0	0	0.9296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0772
Scots Gaelic	57	-5	3	2	0	Indo-European	gla	Orkney	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1908	0.0197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5066	0.5198	0.0132	0.0132	0	0	0.0197	0	0.0329	0.0329	0.0329	0.0197	0	0	0	0.0066	0.1184	0	0.0658	0.0658	0	0	0	0	0.0986	0.0592	0.0658	0	0.0066	0	0.0263	0.0197	0.0197	0.0132	0	0	0	0	0	0.0724	0.0132	0.0197	0	0	0	0.0724	0	0	0	0	0	0	0.1578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9934	0	0	0.9934	0	0	0.0132	0	0	0.0329	0	0	0	0.8684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0658
Swedish	60	15	3	3	2	Indo-European	swe	Scandinavia	645	0.0016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2128	0.0155	0	0.0062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4853	0.5427	0.0574	0.0574	0	0	0.0342	0	0.014	0.0186	0.0186	0.0155	0.0016	0.0016	0.0078	0.0217	0.1304	0	0.0497	0.0497	0	0	0.0016	0	0.1024	0.0884	0.0341	0.0062	0.0233	0.0062	0.0186	0.014	0.014	0.0047	0.0047	0.0031	0	0.0093	0	0.0729	0.0047	0.0404	0.0233	0	0	0.0062	0	0	0	0	0	0	0.1908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0078	0	0	0	0	0	0.0062	0	0	0	0	0	0	0	0	0	0	0.996	0	0	0.9882	0	0	0.0574	0	0	0.0186	0	0	0	0.9463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0497
Scots English	56	-3.25	3	3	0	Indo-European	sco	Scotland	891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.184	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4567	0.4993	0.0426	0.0426	0	0	0.046	0.0112	0.0224	0.0438	0.0438	0.009	0	0.0079	0.0123	0.0247	0.0718	0	0.0662	0.0662	0	0.0011	0	0	0.1436	0.1009	0.0303	0.0056	0.0123	0.0011	0.0236	0.0359	0.0348	0.0079	0.0213	0.0056	0.0056	0.0022	0	0.0505	0	0.0101	0	0	0.0011	0.0168	0	0	0	0	0	0	0.2445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9985	0	0	0.9985	0	0	0.0426	0	0	0.0438	0	0	0	0.9289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0662
Bulgarian	43	25	2	1	0	Indo-European	bul	Bulgaria/Turkey	102	0	0	0	0	0	0	0	0	0	0.0196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1764	0.0392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3823	0.3823	0	0	0	0	0.0588	0.0294	0.049	0.0196	0.0196	0.0392	0	0	0.0588	0.0392	0.0196	0	0.0588	0.0588	0	0	0.049	0	0.147	0.098	0.0196	0	0.0392	0	0.0098	0.0098	0	0	0.0098	0	0	0	0	0.0098	0	0	0	0	0	0.0392	0	0	0	0	0	0	0.245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0686	0	0	0	0	0	0.0196	0	0	0	0	0	0	0	0	0	0	0.9703	0	0	0.9017	0	0	0	0	0	0.0196	0	0	0	0.8037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0588
English	52	0	3	3	0	Indo-European	eng	England/Wales	429	0.0023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1562	0.0163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5221	0.5594	0.0373	0.0373	0	0	0.035	0.0023	0.021	0.0303	0.0303	0.0163	0	0.007	0.007	0.0163	0.0653	0	0.0606	0.0606	0	0	0	0	0.1445	0.0769	0.0443	0.0093	0.0303	0.0163	0.014	0.014	0.014	0.0023	0.007	0	0.0023	0.0023	0	0.042	0.007	0.014	0	0	0	0.0093	0	0	0	0	0	0	0.2214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9952	0	0	0.9952	0	0	0.0373	0	0	0.0303	0	0	0	0.937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0606
Japanese	37	140	2	1	2	Japonic	jpn	Japanese	1312	0.0685	0	0	0.0213	0.0061	8e-04	0	0.0061	0.0366	0.0046	0.0373	0	0	0	0.0023	0	0	0	0.0686	0.013	8e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8e-04	0.0122	0.0244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0038	0.013	0	0	0	0.0769	0.0427	0.003	8e-04	8e-04	0	0	0.3261	0.048	0.0023	0.0213	0.042	0	0	0.1304	0	0.0244	0	0	0.0457	0.0542	0	0	0.0091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1326	0.3642	0.0534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0685	0.0213	0	0	0.0213	0	0.0168	0.0084	0	0.0266	0.0221	0.003	0.0061	0.0099	0.0229	8e-04	0.0167	0.0152	0.0313	0	8e-04	0	0.6411	0.0747	8e-04	0.0481	0.0473	0.0076	0.0313	8e-04	0.0252	0.0792	0.0053	0.0236	0.0267	0.0015	0.0061	0	0	0.9893	0	0	0.3352	0	0	0	0	0	0	0	0	0.0708	0.1959	0	0	0	0	0	0.042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0213	0	0	0	0	0	0	0	0	0	0	0
Ainu	43.5	142	1	1	2	Ainu	ain	Ainu	51	0.0392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.216	0	0	0	0	0.02	0	0	0	0	0	0	0.1372	0.02	0	0.0588	0.0392	0	0	0.1962	0	0.0196	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.1372	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0392	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0.6272	0.157	0	0.0392	0.0392	0	0	0	0.0392	0.0196	0	0	0	0	0.0392	0	0	0.962	0	0	0.3152	0	0	0	0	0	0	0	0	0.236	0.04	0	0	0	0	0	0.0392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0588	0	0	0	0	0	0	0	0	0	0	0
Mandarin	40	116.75	2	1	4	Tibeto-Burman	cmn	Chinese	435	0.0782	0	0	0	0	0	0	0.0207	0.0253	0.0828	0.0322	0	0	0	0.0138	0	0	0	0.0115	0.0184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0299	0.0115	0.0161	0	0	0	0	0	0	0.0046	0	0	0	0	0	0.0138	0	0.0138	0.0276	0	0	0	0.0575	0.046	0.0046	0.0092	0.0023	0	0	0.2596	0.0759	0.0092	0.0023	0.0092	0	0	0.0782	0.0023	0.0161	0	0	0.0138	0.1242	0	0	0.0184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1219	0.2964	0.1173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0782	0	0	0	0	0.0115	0.0161	0	0	0.0161	0	0	0.0138	0	0.0115	0	0.0345	0.0184	0.0299	0.0115	0.0046	0	0.5448	0.0161	0.0138	0.0414	0.0069	0.0207	0.1219	0.0092	0.0092	0.0138	0.0138	0.0161	0.0069	0.0115	0.0023	0	0	0.9611	0	0	0.4002	0	0	0	0	0	0	0	0	0.0276	0.2944	0	0	0	0	0	0.0092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0023	0	0	0	0	0	0	0	0	0	0	0
Lahu	20.75	100.75	1	1	7	Tibeto-Burman	lhu	Lahu	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0.2498	0	0	0	0	0	0	0.0938	0.312	0	0	0	0	0	0	0	0	0	0	0	0.3433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2498	0.0938	0.3433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156	0	0.156	0	0	0	0	0	0	0	0.312	0.156	0	0	0	0	0.2818	0	0	0	0	0	0	0	0	0	0	0	0.0313	0	0	0	0	0.9999	0	0	0.7181	0	0	0	0	0	0	0	0	0	0.7181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Koryak	61	167	2	2	0	Chukotko-Kamchatkan	kpy	Koryak	91	0.055	0	0	0	0	0	0	0	0	0.264	0	0	0	0	0	0	0	0	0.275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0989	0.0879	0.022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.209	0	0	0	0	0	0	0	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033	0	0	0.022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8359	0	0	0	0	0	0.5609	0	0	0	0	0	0	0	0	0	0	1.0008	0	0	0.1649	0	0	0	0	0	0	0	0	0.0989	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lhasa_Tibetan	29.65	91.14	1	1	4	Tibeto-Burman	bod	Tibetan	65	0.0923	0	0	0	0	0	0	0	0	0.0154	0.0154	0	0	0	0	0	0	0	0	0.0769	0.0615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0923	0.0308	0	0	0.0154	0	0	0	0	0	0	0.3542	0.0154	0	0	0	0	0	0.0308	0	0.108	0	0	0	0.0308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0154	0.3696	0.0308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0615	0	0	0.0308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0154	0	0	0.7545	0	0	0	0	0.0308	0.1077	0	0	0.0154	0.0154	0.185	0	0.0308	0	0	0	0.9853	0	0	0.1385	0	0	0	0	0	0	0	0	0	0.0462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arabic_Algerian	36	5	2	2	0	Afro-Asiatic	arq	Algerians	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0.042	0	0	0	0	0.128	0.042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021	0.064	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.064	0.871	0.128	0	0.594	0	0	0	0	0	0	0	0	0	0.573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042
Kabyle	36.5	5	3	3	0	Afro-Asiatic	kab	Moroccan Berbers	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.422	0.422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.078	0.078	0	0	0	0	0.094	0.156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.078	0	0	0	0	0	0	0	0	0.266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016	0.922	0	0	0.906	0	0	0	0	0	0	0	0	0	0.906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.078
Tamazight	33	-4	3	3	0	Afro-Asiatic	tzm	Mozabites	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.247	0.247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282	0	0	0.059	0	0	0	0	0	0.082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.857	0.047	0	0.74	0	0	0	0	0	0	0	0	0	0.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tamasheq	13.784	-11.599	1	2	0	Afro-Asiatic	taq	South Berbers	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32	0.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0.1	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0.1	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0.74	0	0	0.64	0	0	0	0	0	0	0	0	0	0.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02
Basque	43.2	-3	2	2	0	Basque	eus	Basques	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.578	0.578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.052	0.052	0	0	0	0	0.04	0.052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017	0	0	0	0	0	0	0.092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.889	0	0	0.889	0.017	0	0	0	0	0	0	0	0	0.872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.052
Catalan	41.4	2.3	2	3	0	Indo-European	cat	Catalans	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.154	0.051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.564	0.577	0	0	0	0	0	0	0	0	0	0.051	0	0	0	0	0	0	0.064	0.064	0	0	0	0	0.026	0.077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026	0	0	0	0	0	0	0.103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.937	0	0	0.924	0	0	0	0	0	0	0	0	0	0.834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.064
