Population,Size,A,B4a1a1,B4a2,B4b1,B4c1b,B4c2,B4g,B5a,B5b,C,D5,E1,E2,F1a1a,F2,F3a,F3b,F4,G,M10,M12,M17,M19,M20,M21a,M21b,M22,M33c,M47,M50,M51,M71,M72,M73,M77,M7b1,M8a,M9,N10,N21,N22,N9a6,P,Q,R11,R21,R22,R23,R9b,R9c,U,W,Y,Z,A2,A5,A8,B4,B5,C1,C4,C5,D2,D3,D4,F1,F2a,G1,G2a,G3,M3a,M7,M8a2,M9a,M11,M13a,N9a,R9,L2a,H,HV,HV0a,V,R0a,R2,J1,J2,T1,N1,I,N2,U1,U2,U3,U4,U5,U7a,U8,K,X2e,B,D,F,J,T,H1,H3,H4,H5,H8,J1b,J1b1,K1,K2,K2a,K2b,T2,T3,U5a,U5a1,U5b,U5b1,U6,U7,X,L2,A1,A1a,A2a,A2b,N9b,JT,B4a,B4a1,B4a3,B4b,B4c1,B4f,B5a1,B5b1,B5b2,B5b3,F1a,F1a1,F1b,F1c,F3,F4b,M,M7a,M7a1,M7b,M7b2,M7c,M8,C4a,G2a1,D4a,D4a1,D4b,D4d,D4k,D4n,D5a,L1,L3,M1,M5,N,R1,E,HV0,HV1,HV2,N1a,N1b,N2a,N9,R,U9,M2,M3,A6,B4e,G2,M7c1,L0d1,L0d2,L0d3,L0k1a,L0k1b,L0k2,C1a,D1a,S,M27a,M27b,M27c,M28a,M28b,M29a,M29b,P1,P1d,P1d1,Q1,Q1a,Q1b,Q1c,Q2a,Q2a2,B4a1a,B4a1a1a,B4a1a1a1,B4a1a1a3,B4a1a1a4,B4a1a1b,B4b1a2,B5b1c,B5b2a1b1,E1a2,E1b1,E2a,H1a,L0a,L1b,L1c,L2b,L2c,L2d,L2e,L3b,L3d,L3e,L3f,L3h,L4b,U6a,L0d,L0k,G1a,L0,M9b,E1b,M7c3,R5,R6,U2a,U2b,U2c,U2e,U8b
Itelmen,66.0,0.682,0,0,0,0,0,0,0,0,0.106,0,0,0,0,0,0,0,0,0.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.121,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eskimo,51.0,0.039,0,0,0,0,0,0,0,0,0.843,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.098,0.02,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EuropeanRussia,215.0,0.0,0,0,0,0,0,0,0,0,0.0186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0233,0,0.0047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3349,0,0,0.0419,0,0,0.0,0.0093,0.0372,0,0.014,0,0.0047,0.0,0.0047,0.0837,0.0,0,0,0.0186,0,0.0,0.0186,0,0.0651,0.0465,0.0558,0.0,0.0,0.0,0.0326,0.0047,0.0,0.0,0.0093,0.0,0.0,0.0186,0.0,0.0791,0.0093,0.0233,0.0279,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,527.0,0.0,0,0,0,0,0,0,0,0,0.0019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019,0.0209,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3833,0,0,0.0512,0,0,0.0209,0.0019,0.0247,0,0.0228,0,0.0038,0.0057,0.0114,0.0266,0.0019,0,0,0.0569,0,0.0,0.0038,0,0.0683,0.0626,0.0436,0.0114,0.0152,0.0076,0.0285,0.0,0.0019,0.0019,0.0076,0.0,0.0,0.0019,0.0019,0.0493,0.0019,0.038,0.0,0.0,0.0,0.0076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,467.0,0.0,0,0,0,0,0,0,0,0,0.0043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021,0.0021,0,0.0021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2827,0,0,0.0171,0,0,0.0043,0.0128,0.0043,0,0.0471,0,0.0,0.0,0.0,0.0214,0.0043,0,0,0.0493,0,0.0,0.0,0,0.0685,0.0214,0.0835,0.0043,0.0964,0.0043,0.0043,0.0,0.0557,0.0236,0.0043,0.0,0.0,0.0257,0.0493,0.0557,0.0,0.0343,0.0,0.0,0.0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,128.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0234,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4141,0,0,0.0703,0,0,0.0078,0.0078,0.0234,0,0.0234,0,0.0,0.0078,0.0,0.0234,0.0078,0,0,0.0547,0,0.0,0.0,0,0.1172,0.0703,0.0234,0.0156,0.0234,0.0,0.0,0.0,0.0078,0.0078,0.0078,0.0078,0.0,0.0,0.0,0.0469,0.0,0.0078,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scandinavia,645.0,0.0016,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0155,0,0.0062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3969,0,0,0.0574,0,0,0.0202,0.0,0.014,0,0.0186,0,0.0016,0.0016,0.0078,0.0217,0.0171,0,0,0.0403,0,0.0,0.0016,0,0.0682,0.0651,0.0341,0.0062,0.0233,0.0062,0.0186,0.0,0.014,0.0047,0.0016,0.0031,0.0,0.0093,0.0,0.0682,0.0047,0.0171,0.0233,0.0,0.0,0.0062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,891.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.009,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3838,0,0,0.0426,0,0,0.0101,0.0112,0.0224,0,0.0438,0,0.0,0.0079,0.0123,0.0247,0.0112,0,0,0.037,0,0.0011,0.0,0,0.0864,0.0763,0.0303,0.0056,0.0123,0.0011,0.0236,0.0011,0.0348,0.0079,0.0101,0.0056,0.0056,0.0022,0.0,0.0505,0.0,0.0101,0.0,0.0,0.0011,0.0168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria/Turkey,102.0,0.0,0,0,0,0,0,0,0,0,0.0196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0392,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3137,0,0,0.0,0,0,0.049,0.0294,0.049,0,0.0196,0,0.0,0.0,0.0588,0.0392,0.0098,0,0,0.049,0,0.0,0.049,0,0.0588,0.049,0.0196,0.0,0.0392,0.0,0.0098,0.0098,0.0,0.0,0.0098,0.0,0.0,0.0,0.0,0.0098,0.0,0.0,0.0,0.0,0.0,0.0392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England/Wales,429.0,0.0023,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0163,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4079,0,0,0.0373,0,0,0.021,0.0023,0.021,0,0.0303,0,0.0,0.007,0.007,0.0163,0.0093,0,0,0.0513,0,0.0,0.0,0,0.1072,0.0536,0.0443,0.0093,0.0303,0.0163,0.014,0.0,0.014,0.0023,0.0047,0.0,0.0023,0.0023,0.0,0.035,0.007,0.014,0.0,0.0,0.0,0.0093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saami,176.0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0057,0,0.0341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0,0,0.3977,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0511,0,0.0,0.0,0.0114,0.0,0.0,0.0,0.0284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057,0.0057,0.017,0.4261,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japanese,1312.0,0,0,0.0,0.0213,0.0061,0.0008,0,0.0,0.003,0.0,0.0373,0,0,0,0.0,0,0,0.0,0.0053,0.013,0.0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0.0122,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0038,0.013,0,0,0,0.0076,0.0,0.003,0,0.0008,0,0,0.189,0,0.0023,0,0.0168,0,0,0,0.0,0.0244,0,0,0.0457,0.0008,0,0,0.0091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0.0008,0.0023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0472,0.0213,0.0,0.0,0.0213,0.0,0.0084,0.0084,0.0,0.0053,0.016,0.003,0.0061,0.0099,0.0229,0.0008,0.0015,0.0152,0.0313,0.0,0.0008,0.0,0.0084,0.0739,0.0008,0.0,0.0473,0.0076,0.0015,0.0008,0.0252,0.0739,0.0053,0.0236,0.0267,0.0015,0.0061,0,0,0.013,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213,0,0,0,0,0,0,0,0,0,0,0
Ainu,51.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.216,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0784,0,0.0,0,0.0,0,0,0,0.0,0.0196,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0392,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.1762,0.157,0.0,0.0,0.0392,0.0,0.0,0.0,0.0392,0.0196,0.0,0.0,0.0,0.0,0.0392,0,0,0.0196,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588,0,0,0,0,0,0,0,0,0,0,0
Chinese,435.0,0,0,0.0,0.0,0.0,0.0,0,0.0069,0.0138,0.0667,0.0322,0,0,0,0.0046,0,0,0.0,0.0,0.0184,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0299,0.0092,0.0,0,0,0,0,0,0,0.0046,0,0,0,0,0,0.0138,0,0.0138,0.0276,0,0,0,0.0253,0.0,0.0046,0,0.0023,0,0,0.209,0,0.0092,0,0.0,0,0,0,0.0023,0.0161,0,0,0.0138,0.0069,0,0,0.0184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184,0.0046,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0782,0.0,0.0,0.0,0.0,0.0115,0.0161,0.0,0.0,0.0161,0.0,0.0,0.0138,0.0,0.0115,0.0,0.0161,0.0184,0.0299,0.0115,0.0046,0.0,0.0023,0.0023,0.0138,0.0046,0.0069,0.0207,0.0,0.0092,0.0092,0.0,0.0138,0.0161,0.0069,0.0115,0.0023,0,0,0.0161,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023,0,0,0,0,0,0,0,0,0,0,0
Lahu,32.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0313,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.125,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0938,0.0,0.0,0,0.0,0,0,0.0625,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156,0.156,0.0,0.0,0.0,0.0,0.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0313,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
Taiwanese,208.0,0,0,0.0,0.0,0.0481,0.0,0,0.0625,0.0,0.0,0.0625,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0096,0.0,0,0,0,0.0,0.0048,0.0,0,0.0,0,0,0.135,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0769,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0048,0.0,0.0,0.0,0.0,0.0,0.149,0.0048,0.0,0.0433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0721,0.0,0.0,0.0,0.101,0.0,0.0,0.0048,0.0,0.0,0.0433,0.0,0.0,0.0,0.0048,0.0,0.0,0.0,0.0,0.0,0,0,0.024,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
Koryak,91.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.264,0.0,0,0,0,0.0,0,0,0.0,0.275,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0989,0.0879,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.209,0.0,0,0,0.0,0.0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.033,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
Tibetan,65.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0154,0.0154,0,0,0,0.0,0,0,0.0,0.0,0.0769,0.0615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0923,0,0,0,0.0154,0.0,0.0,0,0.0,0,0,0.123,0,0.0,0,0.0,0,0,0,0.0,0.108,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0615,0.0,0.0,0.0308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0308,0.0,0.0,0.0,0.0,0.0154,0.185,0.0,0.0308,0.0,0,0,0.0923,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
Moroccan Arabs,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.04,0,0,0.0,0,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.04,0.06,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.16,0.02,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moroccan Berbers,64.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.078,0,0,0.0,0,0.094,0.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078,0,0.0,0.0,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0.016,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
